name,url,graph
ReactiveUI,https://github.com/reactiveui/ReactiveUI,E:/Mestrado/gitminer bancos/graph_reactiveui.db
Rock,https://github.com/SparkDevNetwork/Rock,E:/Mestrado/gitminer bancos/graph_rock.db
Rebus,https://github.com/rebus-org/Rebus,E:/Mestrado/gitminer bancos/graph_rebus.db
SharpDevelop,https://github.com/icsharpcode/SharpDevelop,E:/Mestrado/gitminer bancos/graph_sharpdevelop.db
SignalR,https://github.com/SignalR/SignalR,E:/Mestrado/gitminer bancos/graph_signalr.db
SparkleShare,https://github.com/hbons/SparkleShare,E:/Mestrado/gitminer bancos/graph_sparkleshare.db
Umbraco-CMS,https://github.com/umbraco/Umbraco-CMS,E:/Mestrado/gitminer bancos/graph_umbracocms.db
WowPacketParser,https://github.com/TrinityCore/WowPacketParser,E:/Mestrado/gitminer bancos/graph_wopacketparser.db
astropy,https://github.com/astropy/astropy,E:/Mestrado/gitminer bancos/graph_astropy.db
django,https://github.com/django/django,E:/Mestrado/gitminer bancos/graph_django.db
edx-platform,https://github.com/edx/edx-platform,E:/Mestrado/gitminer bancos/graph_edxplatform.db
flask,https://github.com/mitsuhiko/flask,E:/Mestrado/gitminer bancos/graph_flask.db
ipython,https://github.com/ipython/ipython,E:/Mestrado/gitminer bancos/graph_ipython.db
matplotlib,https://github.com/matplotlib/matplotlib,E:/Mestrado/gitminer bancos/graph_matplotlib.db
nova,https://github.com/openstack/nova,E:/Mestrado/gitminer bancos/graph_nova.db
nupic,https://github.com/numenta/nupic,E:/Mestrado/gitminer bancos/graph_nupic.db
pandas,https://github.com/pydata/pandas,E:/Mestrado/gitminer bancos/graph_pandas.db
requests,https://github.com/kennethreitz/requests,E:/Mestrado/gitminer bancos/graph_requests.db
scrapy,https://github.com/scrapy/scrapy,E:/Mestrado/gitminer bancos/graph_scrapy.db
slapos,https://github.com/SlapOS/slapos,E:/Mestrado/gitminer bancos/graph_slapos.db
sympy,https://github.com/sympy/sympy,E:/Mestrado/gitminer bancos/graph_sympy.db
taiga-back,https://github.com/taigaio/taiga-back,E:/Mestrado/gitminer bancos/graph_taigaback.db
testrunner,https://github.com/membase/testrunner,E:/Mestrado/gitminer bancos/graph_testrunner.db
tornado,https://github.com/tornadoweb/tornado,E:/Mestrado/gitminer bancos/graph_tornado.db
zamboni,https://github.com/mozilla/zamboni,E:/Mestrado/gitminer bancos/graph_zamboni.db
atmosphere,https://github.com/Atmosphere/atmosphere,E:/Mestrado/gitminer bancos/graph_atmosphere.db
Bukkit,https://github.com/Bukkit/Bukkit,E:/Mestrado/gitminer bancos/graph_bukkit.db
cassandra,https://github.com/apache/cassandra,E:/Mestrado/gitminer bancos/graph_cassandra.db
clojure,https://github.com/clojure/clojure,E:/Mestrado/gitminer bancos/graph_clojure.db
cloudify,https://github.com/CloudifySource/cloudify,E:/Mestrado/gitminer bancos/graph_cloudify.db
cxf,https://github.com/apache/cxf,E:/Mestrado/gitminer bancos/graph_cxf.db
dropwizard,https://github.com/dropwizard/dropwizard,E:/Mestrado/gitminer bancos/graph_dropwizard.db
gradle,https://github.com/gradle/gradle,E:/Mestrado/gitminer bancos/graph_gradle.db
graylog2-server,https://github.com/Graylog2/graylog2-server,E:/Mestrado/gitminer bancos/graph_graylog2server.db
infinispan,https://github.com/danberindei/infinispan,E:/Mestrado/gitminer bancos/graph_infinispan.db
jedis,https://github.com/xetorthio/jedis,E:/Mestrado/gitminer bancos/graph_jedis.db
jsoup,https://github.com/jhy/jsoup,E:/Mestrado/gitminer bancos/graph_jsoup.db
junit,https://github.com/junit-team/junit,E:/Mestrado/gitminer bancos/graph_junit.db
kotlin,https://github.com/JetBrains/kotlin,E:/Mestrado/gitminer bancos/graph_kotlin.db
lucene-solr,https://github.com/apache/lucene-solr,E:/Mestrado/gitminer bancos/graph_lucenesolr.db
mct,https://github.com/nasa/mct,E:/Mestrado/gitminer bancos/graph_mct.db
mockito,https://github.com/mockito/mockito,E:/Mestrado/gitminer bancos/graph_mockito.db
netty,https://github.com/netty/netty,E:/Mestrado/gitminer bancos/graph_netty.db
OG-Platform,https://github.com/OpenGamma/OG-Platform,E:/Mestrado/gitminer bancos/graph_OGPlatform.db
OpenRefine,https://github.com/OpenRefine/OpenRefine,E:/Mestrado/gitminer bancos/graph_openrefine.db
orientdb,https://github.com/orientechnologies/orientdb,E:/Mestrado/gitminer bancos/graph_orientdb.db
realm-java,https://github.com/realm/realm-java,E:/Mestrado/gitminer bancos/graph_realm.db
retrofit,https://github.com/square/retrofit,E:/Mestrado/gitminer bancos/graph_retrofit.db
roboguice,https://github.com/roboguice/roboguice,E:/Mestrado/gitminer bancos/graph_roboguice.db
RxJava,https://github.com/ReactiveX/RxJava,E:/Mestrado/gitminer bancos/graph_rxjava.db
voldemort,https://github.com/voldemort/voldemort,E:/Mestrado/gitminer bancos/graph_voldemort.db
