name,url,graph
Activiti,https://github.com/Activiti/Activiti,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_Activiti.db
AndEngine,https://github.com/nicolasgramlich/AndEngine,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_AndEngine.db
andlytics,https://github.com/AndlyticsProject/andlytics,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_andlytics.db
AntennaPod,https://github.com/AntennaPod/AntennaPod,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_AntennaPod.db
antlr4,https://github.com/antlr/antlr4,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_antlr4.db
atmosphere,https://github.com/Atmosphere/atmosphere,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_atmosphere.db
BroadleafCommerce,https://github.com/BroadleafCommerce/BroadleafCommerce,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_BroadleafCommerce.db
Bukkit,https://github.com/Bukkit/Bukkit,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_bukkit.db
cassandra,https://github.com/apache/cassandra,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_cassandra.db
cgeo,https://github.com/cgeo/cgeo,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_cgeo.db
clojure,https://github.com/clojure/clojure,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_clojure.db
closure-compiler,https://github.com/google/closure-compiler,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_closurecompiler.db
cloudify,https://github.com/CloudifySource/cloudify,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_cloudify.db
commafeed,https://github.com/Athou/commafeed,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_commafeed.db
commons,https://github.com/twitter/commons,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_commons.db
cxf,https://github.com/apache/cxf,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_cxf.db
dropwizard,https://github.com/dropwizard/dropwizard,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_dropwizard.db
Equivalent-Exchange-3,https://github.com/pahimar/Equivalent-Exchange-3,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_EquivalentExchange3.db
Essentials,https://github.com/essentials/Essentials,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_Essentials.db
FBReaderJ,https://github.com/geometer/FBReaderJ,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_FBReaderJ
gradle,https://github.com/gradle/gradle,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_gradle.db
graylog2-server,https://github.com/Graylog2/graylog2-server,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_graylog2server.db
groovy-core,https://github.com/groovy/groovy-core,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_groovycore.db
infinispan,https://github.com/danberindei/infinispan,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_infinispan.db
jedis,https://github.com/xetorthio/jedis,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_jedis.db
jenkins,https://github.com/jenkinsci/jenkins,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_jenkins.db
jitsi,https://github.com/jitsi/jitsi,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_jitsi.db
jsoup,https://github.com/jhy/jsoup,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_jsoup.db
junit,https://github.com/junit-team/junit,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_junit.db
k-9,https://github.com/k9mail/k-9,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_k9.db
kotlin,https://github.com/JetBrains/kotlin,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_kotlin.db
lucene-solr,https://github.com/apache/lucene-solr,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_lucenesolr.db
mct,https://github.com/nasa/mct,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_mct.db
mockito,https://github.com/mockito/mockito,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_mockito.db
netty,https://github.com/netty/netty,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_netty.db
OG-Platform,https://github.com/OpenGamma/OG-Platform,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_OGPlatform.db
okhttp,https://github.com/square/okhttp,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_okhttp.db
OpenRefine,https://github.com/OpenRefine/OpenRefine,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_openrefine.db
OpenTripPlanner,https://github.com/opentripplanner/OpenTripPlanner,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_OpenTripPlanner.db
orientdb,https://github.com/orientechnologies/orientdb,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_orientdb.db
Osmand,https://github.com/osmandapp/Osmand,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_Osmand.db
realm-java,https://github.com/realm/realm-java,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_realm.db
retrofit,https://github.com/square/retrofit,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_retrofit.db
roboguice,https://github.com/roboguice/roboguice,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_roboguice.db
robolectric,https://github.com/robolectric/robolectric,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_roboletric.db
rstudio,https://github.com/rstudio/rstudio,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_rstudio.db
rundeck,https://github.com/rundeck/rundeck,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_rundeck.db
RxJava,https://github.com/ReactiveX/RxJava,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_rxjava.db
Spout,https://github.com/SpoutDev/Spout,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_Spout.db
voldemort,https://github.com/voldemort/voldemort,/home/ines/gjcc/fpfnanalysis/gitminerdbs/graph_voldemort.db
